prioridad;prioridad_detalle;identifier;count;path;message
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;frontend/actividades/controller/actividad_select.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;frontend/actividades/controller/lista_activ.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;frontend/actividades/controller/lista_actividades_sg.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";requireOnce.fileNotFound;1;frontend/actividadestudios/controller/acta_notas.php;"#^Path in require_once\(\) ""apps/core/global_object\.inc"" is not a file or it does not exist\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;frontend/actividadestudios/controller/ca_posibles.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;frontend/actividadestudios/controller/e43_imprimir_mpdf.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;frontend/casas/controller/casa.php;"#^Call to an undefined method frontend\\shared\\web\\Desplegable\:\:ListaSelects\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;frontend/casas/controller/casa.php;"#^Call to an undefined method frontend\\shared\\web\\Desplegable\:\:setAccionConjunto\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;frontend/casas/controller/casa_ec.php;"#^Call to an undefined method frontend\\shared\\web\\Desplegable\:\:setAccionConjunto\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;frontend/casas/controller/casa_resumen.php;"#^Call to an undefined method frontend\\shared\\web\\Desplegable\:\:ListaSelects\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;frontend/casas/controller/casa_resumen.php;"#^Call to an undefined method frontend\\shared\\web\\Desplegable\:\:setAccionConjunto\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;frontend/certificados/controller/certificado_emitido_lista.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;4;frontend/devel_db_admin/controller/apptables_update.php;"#^Call to an undefined method object\:\:createAll\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;4;frontend/devel_db_admin/controller/apptables_update.php;"#^Call to an undefined method object\:\:dropAll\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;2;frontend/devel_db_admin/controller/apptables_update.php;"#^Call to an undefined method object\:\:llenarAll\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;frontend/inventario/controller/doc_imprimir_ctr.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;frontend/inventario/controller/doc_imprimir_dlb.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;frontend/inventario/controller/equipajes_doc_casa.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;frontend/inventario/controller/equipajes_docs_libres.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;2;frontend/inventario/controller/equipajes_imprimir.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;4;frontend/inventario/controller/equipajes_movimientos.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;frontend/inventario/controller/equipajes_movimientos_que.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;frontend/notas/controller/acta_imprimir.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;frontend/notas/controller/acta_imprimir_mpdf.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";requireOnce.fileNotFound;1;frontend/notas/controller/acta_imprimir_mpdf.php;"#^Path in require_once\(\) ""apps/core/global_object\.inc"" is not a file or it does not exist\.$#"
