id_grupmenu,?column?,url,parametros,id_mod
1,preferencias (preferencias usuario),frontend/usuarios/controller/preferencias.php,,1
1,a ODF Calc (exportar a odf calc),fnjs_exportar('odfc'),,1
1,a ODF Text (exportar a odft txt),fnjs_exportar('odft'),,1
1,lista de cambios (lista avisos),apps/cambios/controller/avisos_generar.php,,26
1,Ayuda (Ayuda),public/ayuda/index.php,,1
1,Informar de un bug (abrir pag redmine),fnjs_windowopen('http://10.0.0.16/redmine'),,1
2,buscar n (Raiz base),,,1
2,n r/dl (búsqueda de personas),apps/personas/controller/personas_que.php,tabla=p_numerarios&tipo=persona,1
2,n de paso (búsqueda de personas),apps/personas/controller/personas_que.php,tabla=p_de_paso&na=n&tipo=persona,1
2,Actualizar datos desde BDU (Sincronizar con los datos de Listas),apps/dbextern/controller/sincro_index.php,tipo=n,9
2,crt (Raiz activ1),,,5
2,importar crt (seleccionar actividad),apps/actividades/controller/actividad_que.php,sasistentes=n&sactividad=crt&que=ver&modo=importar,5
2,buscar crt (Listado de Actividades),apps/actividades/controller/actividad_select.php,sasistentes=n&sactividad=crt&que=ver,5
2,list varios crt (seleccionar actividad),apps/actividades/controller/actividad_que.php,sasistentes=n&sactividad=crt&que=list_cjto,5
2,list por ctr (Buscar por centro),apps/asistentes/controller/que_ctr_lista.php,lista=list_activ&n_agd=n&sasistentes=n&sactividad=crt,5
2,pendientes (actividades pendientes),apps/asistentes/controller/activ_pendientes_select.php,sactividad=crt&tipo_personas=n,5
2,Gestión de plazas (Gestión de plazas),apps/actividadplazas/controller/gestion_plazas.php,sasistentes=n&sactividad=crt,8
2,Balance de plazas (Balance de Plazas),apps/actividadplazas/controller/plazas_balance_que.php,sasistentes=n&sactividad=crt,8
2,Incorporar 1ª petición (Incorporar peticiones de plazas),apps/actividadplazas/controller/incorporar_peticion.php,sasistentes=n&sactividad=crt,8
2,cambiar de fase (Fases activ cambio),apps/procesos/controller/fases_activ_cambio.php,sasistentes=n&sactividad=crt,11
2,ca (Raiz activ1),,,5
2,importar ca (seleccionar actividad),apps/actividades/controller/actividad_que.php,sasistentes=n&sactividad=ca&que=ver&modo=importar,5
2,buscar ca (Listado de Actividades),apps/actividades/controller/actividad_select.php,extendido=1&sasistentes=n&sactividad=ca&que=ver,5
2,lista varios ca (seleccionar actividad),apps/actividades/controller/actividad_que.php,sasistentes=n&sactividad=ca&que=list_cjto,5
2,lista por ctr (Buscar por centro),apps/asistentes/controller/que_ctr_lista.php,lista=list_activ&n_agd=n&sasistentes=n&sactividad=ca,5
2,pendientes (actividades pendientes),apps/asistentes/controller/activ_pendientes_select.php,sactividad=ca&tipo_personas=n,5
2,Gestión de plazas (Gestión de plazas),apps/actividadplazas/controller/gestion_plazas.php,sasistentes=n&sactividad=ca,8
2,Balance de plazas (Balance de Plazas),apps/actividadplazas/controller/plazas_balance_que.php,sasistentes=n&sactividad=ca,8
2,Incorporar 1ª petición (Incorporar peticiones de plazas),apps/actividadplazas/controller/incorporar_peticion.php,sasistentes=n&sactividad=ca,8
2,cambiar de fase (Fases activ cambio),apps/procesos/controller/fases_activ_cambio.php,sasistentes=n&sactividad=ca,11
2,cve (Raiz activ1),,,5
2,buscar cve (Listado de Actividades),apps/actividades/controller/actividad_select.php,sasistentes=n&sactividad=cve&que=ver,5
2,importar cve (seleccionar actividad),apps/actividades/controller/actividad_que.php,sasistentes=n&sactividad=cve&que=ver&modo=importar,5
2,lista varias cve (seleccionar actividad),apps/actividades/controller/actividad_que.php,sasistentes=n&sactividad=cve&que=list_cjto,5
2,lista por ctr (Buscar por centro),apps/asistentes/controller/que_ctr_lista.php,lista=list_activ&n_agd=n&sasistentes=n&sactividad=cve,5
2,Gestión de plazas (Gestión de plazas),apps/actividadplazas/controller/gestion_plazas.php,sasistentes=n&sactividad=cve,8
2,cambiar de fase (Fases activ cambio),apps/procesos/controller/fases_activ_cambio.php,sasistentes=n&sactividad=cve,11
2,planning (Raiz activ1),,,5
2,persona r/dl vsm (Planning persona),apps/planning/controller/planning_persona_que.php,obj_pau=PersonaDl,6
2,por centro (planning ctr),apps/planning/controller/planning_ctr_que.php,,6
2,por casas (Planing Casa),apps/planning/controller/planning_casa_que.php,,6
3,buscar n (Raiz base),,,1
3,Actualizar datos desde BDU (Sincronizar con los datos de Listas),apps/dbextern/controller/sincro_index.php,tipo=a,9
3,crt (Raiz activ1),,,5
3,importar crt (seleccionar actividad),apps/actividades/controller/actividad_que.php,sasistentes=agd&sactividad=crt&que=ver&modo=importar,5
3,buscar crt (Listado de Actividades),apps/actividades/controller/actividad_select.php,sasistentes=agd&sactividad=crt&que=ver,5
3,lista por ctr (Buscar por centro),apps/asistentes/controller/que_ctr_lista.php,lista=list_activ&n_agd=a&sasistentes=agd&sactividad=crt,5
3,list varios crt (seleccionar actividad),apps/actividades/controller/actividad_que.php,sasistentes=agd&sactividad=crt&que=list_cjto,5
3,Gestión de plazas (Gestión de plazas),apps/actividadplazas/controller/gestion_plazas.php,sasistentes=agd&sactividad=crt,8
3,Balance de plazas (Balance de Plazas),apps/actividadplazas/controller/plazas_balance_que.php,sasistentes=agd&sactividad=crt,8
3,Incorporar 1ª petición (Incorporar peticiones de plazas),apps/actividadplazas/controller/incorporar_peticion.php,sasistentes=agd&sactividad=crt,8
3,cambiar de fase (Fases activ cambio),apps/procesos/controller/fases_activ_cambio.php,id_tipo_activ=131,11
3,cv (Raiz activ1),,,5
3,importar cv (seleccionar actividad),apps/actividades/controller/actividad_que.php,sasistentes=agd&sactividad=cv&que=ver&modo=importar,5
3,buscar cv (Listado de Actividades),apps/actividades/controller/actividad_select.php,sasistentes=agd&sactividad=cv&que=ver,5
3,list varias cv (seleccionar actividad),apps/actividades/controller/actividad_que.php,sasistentes=agd&sactividad=cv&que=list_cjto,5
3,list por centros (Buscar por centro),apps/asistentes/controller/que_ctr_lista.php,lista=list_activ&n_agd=a&sasistentes=agd&sactividad=cv,5
