a,Euc-crEuc
aes,Aes-crAes
arg,Pla-crPla
aso,Aes-crAes
aut,Aut-crAut
brit,Eso-crEso
ch,Ch-crCh
craes,Aes-crAes
craut,Aut-crAut
crbel,Galbel-crGalbel
crch,Ch-crCh
crecs,Ecs-crEcs
creso,Eso-crEso
creu,Usca-crUsca
crgalbel,Galbel-crGalbel
cri,I-crI
crl,L-crL
crm,M-crM
crnig,Nig-crNig
crp,P-crP
crpl,Pl-crPl
crpla,Pla-crPla
crusca,Usca-crUsca
csl,Ecs-crEcs
dlal,H-dlal
dlb,H-dlb
dlg,M-dlg
dlgr,H-dlgr
dlm,M-crM
dlme,H-dlmE
dlmo,H-dlmO
dln,H-dln
dlp,H-dlp
dls,H-dls
dlst,H-dln
dlv,H-dln
dlva,H-dln
dly,M-dly
dlz,H-dlal
eu,Usca-crUsca
g,Euc-crEuc
galbel,Galbel-crGalbel
h,H-H
iers,Iers-crIers
ind,Aes-crAes
m,M-crM
nig,Nig-crNig
pl,Pl-crPl
th,Eso-crEso
u,Pla-crPla
