1	base		[]	[1, 2, 3, 4, 5, 6, 27]
2	devel		[1]	[7]
3	ubis		[1]	[8]
4	stgr1		[1]	[9, 10, 11, 12]
5	activ1		[1]	[9, 13, 14, 28]
6	activ2		[5]	[15]
7	stgr2		[4]	[16]
8	plazas		[5]	[17]
9	sincro_listas		[1]	[18]
11	procesos		[5]	[19]
20	EncargadosActiv	sacd y ctr encargados de actividades	[1, 3, 6]	[20, 21]
21	encargossacd	encargossacd	[1, 3]	[9, 22]
24	zonassacd	distribuión de sacd por zonas	[1]	[8, 9, 23]
25	cartaspresentacion		[1, 3]	[24]
26	avisos		[20, 21, 1]	[26]
27	economia	ingresos y gastos de las casas	[3, 5]	[29]
