60	sacd de paso	420	1	\N
59	of-des	410	1	\N
57	sv sr	185	1	\N
58	sf sr	183	1	\N
27	Igualada	120	6	\N
28	Vic	130	7	\N
35	Brafa	200	1	\N
36	Airina	205	2	\N
39	Camp Joliu	230	5	\N
51	FERT	242	1	\N
43	La Vinya	270	5	\N
45	Mestral	290	6	\N
46	Montclar	300	6	\N
50	EFA Quintanes	305	7	\N
48	Terraferma	320	4	\N
53	UIC Iradier	370	1	\N
54	UIC St. Cugat	380	2	\N
63	Tarragona sss+	450	5	\N
64	Girona sss+	460	3	\N
65	Lleida sss+	470	4	\N
66	Vic sss+	480	7	\N
67	Suplentes Oratorio Sta. Maria	181	1	\N
26	El Vallès	110	2	10219
30	Lleida	150	4	101710
32	Montalegre	170	1	201217
61	Barcelona sss+	430	1	\N
62	Terrassa sss+	440	2	\N
25	Sant Cugat	100	2	\N
55	Viaró	390	2	10219
56	Xaloc	400	8	201103
52	IESE	245	1	10362
42	La Vall	260	2	10371
22	Badalona	70	9	1080
4	Putxet	40	1	101952
44	Les Alzines	280	3	10533
47	Pineda	310	8	10231
40	Canigó	240	1	102197
3	Sarrià	30	1	101985
24	L'Hospitalet	90	8	10272
68	Terrassa	\N	2	\N
69	Sabadell	\N	2	\N
33	Oratori de Santa Maria	180	1	102169
49	Turó	330	5	101200
31	Tarragona	160	5	101200
21	Sgda. Família	60	1	1080
1	dlb 	10	1	10362
2	Pedralbes	20	1	10362
41	La Farga	250	2	10405
37	Arabell	210	4	102082
29	Girona	140	3	101260
34	Bell-lloc	190	3	101260
5	Eixample	50	1	10340
38	Aura	220	5	101215
